index,year,Iceland,Svalbard,Russia,Alaska,Arctic-Canada,Norway-Sweden,Greenland
0,1971,0.0,-10.251221715046468,-20.502443430092935,0.03837626101308267,-25.59365022287438,-0.14925210591054175,-211.5102
1,1972,0.0,-13.242675188815387,-26.485350377630773,-28.624457987084384,-8.042590391716075,-1.1311422330218526,18.829703999999992
2,1973,0.0,-10.184321794853018,-20.368643589706036,-14.644372714897539,-2.4830664502107584,-0.9500817199890966,-13.045016000000007
3,1974,0.0,-33.44262827552176,-66.88525655104353,-73.06570555035766,-2.9852082520764007,-0.976556894455463,-175.248461
4,1975,0.0,-36.13159140590412,-72.26318281180824,-72.84676445955446,17.410856842273773,-1.1244479433723977,-142.294071
5,1976,0.0,-43.055419343698375,-86.11083868739675,-106.46298195872782,50.926276049712975,-1.340182674800875,5.127069000000006
6,1977,0.0,-40.60204663650914,-81.20409327301827,-99.78576810018835,31.810488413689484,-2.1932263669021332,-12.288905999999994
7,1978,0.0,-51.45824903832873,-102.91649807665746,-113.45916301616685,37.61941482602186,-3.0648209543574594,17.365884000000005
8,1979,0.0,-67.75927762110649,-135.51855524221298,-160.0588558266644,48.240694951343926,-3.3847424231741403,-29.987025999999997
9,1980,0.0,-77.10302830599326,-154.20605661198653,-121.28423861855677,52.182918470098,-5.19559984404485,-143.100058
10,1981,0.0,-87.35425002103973,-174.70850004207946,-77.75289917200342,36.1254144371095,-5.4981228358350185,-363.956448
11,1982,0.0,-83.0859352535311,-166.1718705070622,-93.52248294102108,34.36497816584746,-6.200136128764564,-508.52601300000003
12,1983,0.0,-84.5649370103672,-169.1298740207344,-130.33606598301174,43.45846133728526,-5.890989153872965,-308.91955800000005
13,1984,0.0,-101.47094627991808,-202.94189255983616,-145.94115844508315,62.15040083479301,-6.24482933102669,-237.79185000000007
14,1985,0.0,-112.32714868173768,-224.65429736347537,-111.52814568536412,65.66953524549453,-7.229413409477493,-328.74437500000005
15,1986,8.422677581683617,-115.01611181212004,-230.0322236242401,-120.25937129861808,98.08746572897803,-8.041882530102406,-276.22276500000004
16,1987,8.422677581683617,-103.94526601609297,-207.89053203218594,-114.9922374975476,83.47630619332514,-7.474305689829143,-336.01559000000003
17,1988,-3.319637287148076,-113.11180023778375,-226.2236004755675,-99.03682769081686,61.489184385304256,-9.36293306723159,-452.73294500000003
18,1989,4.565207610321566,-120.0559310119066,-240.1118620238132,-161.90590093000466,72.06512697067318,-7.980061487745361,-627.087741
19,1990,-2.178040348793619,-133.42177018889421,-266.84354037778843,-235.98011800110848,40.62741425152855,-7.231124194708413,-760.9025220000001
20,1991,-19.47792035183016,-126.18295522581361,-252.36591045162723,-241.4505219973099,28.141134268770603,-7.441496287902921,-835.3898320000001
21,1992,-7.6969284688968305,-124.28862281261232,-248.57724562522463,-261.6643159320059,29.69190998415491,-6.722778838396948,-746.1151890000001
22,1993,2.45913373853778,-144.49751401806267,-288.99502803612535,-357.59700812952417,-21.414682096675016,-5.876698831288226,-834.9115690000001
23,1994,2.673290640420772,-139.4949847408994,-278.9899694817988,-436.62458110680666,-32.55742554001218,-6.157186046095005,-946.9119180000001
24,1995,-8.013562185259456,-150.18360438894013,-300.36720877788025,-514.5786978983002,-55.95695672474596,-5.845894373962082,-1156.5731520000002
